- SIFT (Scale-Invariant Feature Transform),," 이미지를 회전, 이동, 스케일, 조명 등의 변동에도 불구하고 변하지 않는 국부 특징으로 나타내는 기술.",,,,,,,,,,,,
- 랜덤 포레스트,," 데이터 무작위 선택과 특징 서브셋을 통해 자동 생성되는 다중 결정 트리의 집합으로, 분류 결과는 다수결로 결정된다.",,,,,,,,,,,,
"- 다층 퍼셉트론 (MLP, Multi-Layer Perceptron)",," 입력, 은닉, 출력의 세 개 이상의 층으로 구성된 인공지능 네트워크의 일종으로 비선형 분류에 사용된다.",,,,,,,,,,,,
- 의미 분할,, 이미지에서 각 픽셀 또는 슈퍼 픽셀에 대해 의미 있는 라벨을 할당하는 기술.,,,,,,,,,,,,
- 자율 주행 차량,, 주행 환경을 인식하고 자율적으로 주행할 수 있도록 설계된 차량.,,,,,,,,,,,,
- 옵티컬 플로우,," 두 이미지 사이의 강도에 대한 2차원 움직임을 정의하며, 외관이 변하지 않는 조건 하에서 물리적 세계의 3차원 움직임과 관련이 있다.",,,,,,,,,,,,
- 객체 상태 ,," 객체의 현재 상태를 나타내며, 관측 모델을 통해 특정 상황에서의 분포를 계산하는 데 사용된다.",,,,,,,,,,,,
- 인지,," 자율주행에서 환경을 이해하고 판단하기 위해 필수적인 요소로, 컴퓨터 비전 기술에 크게 의존함.",,,,,,,,,,,,
- 매핑 및 위치 추정 (Map and Localization),, 자율 주행차의 위치 정보를 원본 센서 데이터를 통해 변환하여 지도에 반영하는 기술.,,,,,,,,,,,,
- 경로 계획,, 출발지에서 목적지까지의 일련의 차로를 정확하게 따라가는 과정.,,,,,,,,,,,,
- 모션 계획 모듈,," 물체의 위치, 방향, 속도, 가속도 등을 고려해 궤적을 계산하는 시스템 모듈.",,,,,,,,,,,,
- 트래픽 예측 모듈 ,, 현재 감지된 객체의 가까운 미래의 동작을 예측하는 시스템 구성 요소.,,,,,,,,,,,,
- 동작 예측,," 객체의 동작을 미리 예측하는 기술로, 다양한 유형의 객체에 따라 방법이 달라진다.",,,,,,,,,,,,
- 자율주행 기술,," 자동차가 스스로 주행할 수 있도록 하는 기술로, 다양한 센서와 알고리즘을 사용하여 길찾기, 장애물 회피, 주행 경로 예측 등을 수행한다.",,,,,,,,,,,,
- 자동차 동작 예측 ,, 자동차의 경로를 예측하고 이를 그래픽적으로 표현하는 기술.,,,,,,,,,,,,
- 타임 윈도우,, 인지 모듈이 객체를 추적하는 데 허용된 최대 시간의 개념.,,,,,,,,,,,,
- HD 지도,," 고정밀 지도를 뜻하며, 자율 주행차의 경로 계획과 위치 추적에 사용되는 지도 유형이다.",,,,,,,,,,,,
- 다익스트라 알고리즘,," 그래프에서 두 노드 간의 최단 경로를 계산하는 알고리즘으로, 단일 소스에서 모든 정점까지의 최단 경로를 찾는 데 사용된다.",,,,,,,,,,,,
- A* 알고리즘 ,," 자율 주행차의 경로 계획에 사용되는 휴리스틱 기반 탐색 알고리즘으로, 최소 비용 경로를 찾기 위해 특정 속성을 만족하는 비용 추정치를 활용한다.",,,,,,,,,,,,
- D* 알고리즘,, 비용 지도와 이전에 계산된 비용 지도를 부분적으로 복구하는 정보 증분 검색 알고리즘.,,,,,,,,,,,,
- RRT (Rapidly-exploring Random Tree) ,," RRT는 모든 영역에서 확장되며, 각 노드에 할당된 가중치를 기반으로 시작에서 목표까지의 경로를 생성하는 동적 알고리즘이다.",,,,,,,,,,,,
- RRT 알고리즘,," 비홀로노믹 제약을 다룰 수 있는 경로 계획 알고리즘으로, 휠 시스템에 적용할 수 있다.",,,,,,,,,,,,
- 유전 알고리즘 (GA) ,, 정적 분야에서 경로 계획 문제를 효율적으로 해결하기 위해 사용되는 병렬 검색 방법.,,,,,,,,,,,,
"- 개미 집단 알고리즘 (Ant Colony Optimization, ACO) ",, 자연에서 개미들이 먹이를 찾으며 사용하는 방법을 모방하여 최적 경로를 찾는 알고리즘.,,,,,,,,,,,,
- 경로 계획 모듈,," 자율 주행 자동차의 주행 경로를 결정하는 시스템으로, 도로 그래프를 기반으로 최적의 경로를 찾는다.",,,,,,,,,,,,
- 예측 및 경로 계획 모듈,, 모션 계획의 입력 값을 생성하고 자율 주행 자동차의 경로를 계획하기 위한 프레임워크의 일부.,,,,,,,,,,,,
- 동작 결정,, 자율 주행차가 도로 규칙과 운전 관행에 따라 다른 교통 참여자들과 상호작용하면서 경로를 운행하는 과정.,,,,,,,,,,,,
- MDP (Markov Decision Process),," 상태, 동작, 보상, 감쇠 요소로 구성되어 의사결정 문제를 모델링하는 수학적 프레임워크.",,,,,,,,,,,,
- 부분적으로 관측가능한 MDP (POMDP),, 현재 상태를 직접 관측하지 못하고 관측 모델을 통해 상태에 대한 힌트를 제공하는 마르코프 의사결정 과정.,,,,,,,,,,,,
- 모션 계획 문제,, 로봇이나 자율 주행차가 주어진 환경 내에서 이동 경로를 결정하는 과정.,,,,,,,,,,,,
- 격자 궤적 계획 ,," 상태 격자에서 궤적을 계획하고 최적화하는 방법으로, 반복 최적화를 통해 계획 시간을 단축하고 품질을 향상시킴.",,,,,,,,,,,,
- RRT 방법,, 상태 공간의 무작위 샘플을 사용하여 자동차의 현재 상태에서 검색 트리를 점진적으로 구축하는 경로 계획 기술.,,,,,,,,,,,,
- 클로토이드 곡선,," 곡률이 선형적으로 변화하는 곡선으로, 곡선을 부드럽게 전환할 수 있도록 설계된 트랙을 정의하는 데 사용된다.",,,,,,,,,,,,
- 궤적 제어 매개변수 ,," 곡률 프로파일을 정의하는 데이터로서, 궤적 길이와 여러 매듭점을 포함하는 자율주행 자동차의 주행 경로 제어에 사용되는 요소.",,,,,,,,,,,,
- 자율 주행차 ,, 주행 중 주변 환경을 인식하고 스스로 주행 경로를 결정하여 운전하는 차량.,,,,,,,,,,,,
- PID 제어,," PID 제어는 비례, 적분, 미분의 세 가지 제어 항을 사용하여 최적 제어를 수행하는 방법이다.",,,,,,,,,,,,
- 자율주행차 ,, 사람의 개입 없이 스스로 주행할 수 있는 차량.,,,,,,,,,,,,
- 경로 추적 기법,," 자동차의 모션 모델에 의해 발생하는 부정확성을 줄이기 위한 기술로, 주 행 모션 계획의 실행을 안정화하는 방법.",,,,,,,,,,,,
- 자율주행 자동차 계획 및 제어 ,," 자율주행 자동차의 운전과 관련된 결정, 계획, 제어 과정의 전반적인 구조와 기능을 포함하는 시스템.",,,,,,,,,,,,
- V2X(Vehicle to Everything),, 차량과 다른 모든 객체 간의 외부 통신을 지칭하는 기술.,,,,,,,,,,,,
- V2X 통신,," 차량과 다른 모든 요소 간의 통신을 지원하는 기술로, 차량과 인프라, 차량과 차량 간의 정보 교환을 가능하게 한다.",,,,,,,,,,,,
- V2X (Vehicle-to-Everything) ,," 자동차와 외부 환경 간의 통신을 위한 기술로, 교통 안전과 효율성을 향상시키기 위한 다양한 메시지 전송을 포함한다.",,,,,,,,,,,,
- V2X 통신 ,," 차량과 차량, 그리고 차량과 인프라 간의 통신을 의미하며, 자동차의 안전성과 효율성을 높이기 위해 이용된다.",,,,,,,,,,,,
- V2X 기술,," 차량과 주변 인프라 간의 통신 기술로, 다양한 정보를 교환하여 운전 안전성을 향상시킨다.",,,,,,,,,,,,
- 자율주행 자동차,, 현재의 운전자가 없이 스스로 주행할 수 있는 자동차 기술.,,,,,,,,,,,,
- 자율 주행차(SDV),," 자율 주행 기능을 갖춘 차량으로, 운전자의 개입 없이 자동으로 주행할 수 있는 기술을 포함한다.",,,,,,,,,,,,
- 백엔드 시스템,, 자율 주행차가 원활하고 안전하게 구동되도록 하는 시스템.,,,,,,,,,,,,
- 레벨 3 자동화,," 특정 조건에서 차량이 자율적으로 주행할 수 있지만, 운전자가 필요할 경우 제어권을 넘겨받아야 하는 시스템.",,,,,,,,,,,,
- PPP-RTK,," 정밀 지점 위치를 실시간으로 계산하기 위한 기술로, 상태 공간 표현을 이용하여 RTK 네트워크 내에서 정밀한 위치를 제공합니다.",,,,,,,,,,,,
- LiDAR (Light Detection and Ranging) ,, 레이저를 사용하여 물체까지의 거리와 형태를 측정하는 원격 탐지 기술.,,,,,,,,,,,,
- 3D LiDAR,, 3차원 레이저 스캐너 기술을 사용하여 물체의 위치와 형상을 탐지하는 기술.,,,,,,,,,,,,
- 스테레오 대응 알고리즘,, 두 개의 이미지에서 깊이 정보를 추출하기 위한 알고리즘의 분류 및 평가를 포함한다.,,,,,,,,,,,,
- 패턴 인식 ,," 데이터에서 패턴을 인식하고 해석하는 기술로, 특히 이미지 및 비디오에서 중요함.",,,,,,,,,,,,
- 자율 주행 로봇,, 자율적으로 이동하고 작업을 수행하는 로봇 기술.,,,,,,,,,,,,
- 경로 계획(Path Planning),, 로봇이나 차량이 목적지에 도달하기 위한 최적 경로를 찾는 알고리즘이나 기술.,,,,,,,,,,,,
- 자율주행 ,, 차량이 스스로 주행할 수 있도록 하는 기술.,,,,,,,,,,,,
- 지능형 교통 시스템 (ITS),, 차량 간 통신을 위한 기술 및 서비스.,,,,,,,,,,,,
- 커넥티드 차 (Connected Vehicles),," 차량 간의 통신 및 상호작용이 가능한 차량으로, 안전성과 효율성을 늘리기 위한 기술이다.",,,,,,,,,,,,



